初始,代码,名称,最新,涨幅%,现量,买入价,换手%,3日涨幅%,10日涨幅%,本月涨幅%,所属行业,5日涨幅%,近一月涨幅%,60日涨幅,委比%,金额,开盘,近一年涨幅%,卖一量,量比,总股本,总市值,流通股本,流通市值,今年涨幅%,最低,3日换手%,6日换手%,自选时间,自选价格,自选收益,自选时间1,昨收,振幅%,委差,均价,Column1
28,"= ""603259""", 药明康德, 112.03, 6.42, 1.01万, 112.03, 2.86,4.67,5,6.42,  医疗服务,7.28,0.34,59.93, 12.23, 77.92亿, 105.27,187.99, 1, 1.40, 29.66亿, 3322亿, 24.73亿, 2771亿,109.95, 105.22,6.72,13.04,2025-10-02,112.03,0,2025-10-02,105.27, 6.69, 385, 110.15,
29,"= ""605589""", 圣泉集团, 33.89, 5.74, 3488, 33.89, 4.88,4.15,7.69,5.74,  化学制品,4.5,6.81,12.89, 1.06, 12.78亿, 32.06,100.89, 653, 2.19, 8.464亿, 286.8亿, 7.809亿, 264.6亿,47.03, 32.06,8.99,16.03,2025-10-02,33.89,0,2025-10-02,32.05, 6.61, 24, 33.56,
30,"= ""688665""", 四方光电, 63.26, 2.54, 285, 63.25, 2.62,2.98,3.03,2.54,  仪器仪表,3.7,6.95,38.03, 51.52, 1.65亿, 61.80,157.89, 2, 1.72, 1.006亿, 63.61亿, 1.006亿, 63.61亿,96.22, 61.00,5.65,10.23,2025-10-02,63.26,0,2025-10-02,61.69, 5.15, 118, 62.60,
31,"= ""603320""", 迪贝电气, 20.57, 8.32, 3152, 20.56, 8.84,10.06,0.88,8.32,  电机,6.53,7.14,8.72, -3.66, 2.70亿, 18.97,71.13, 99, 5.24, 1.491亿, 30.68亿, 1.491亿, 30.68亿,47.14, 18.81,11.79,17.28,2025-10-02,20.57,0,2025-10-02,18.99, 10.95, -22, 20.46,
32,"= ""000408""", 藏格矿业, 58.33, 4.37, 1884, 58.33, 0.93,5.79,5,4.37,  化肥行业,8.93,7.15,41.37, 31.49, 8.45亿, 57.00,149.7, 5, 1.26, 15.70亿, 915.9亿, 15.70亿, 915.9亿,118.22, 56.12,2.33,4.62,2025-10-02,58.33,0,2025-10-02,55.89, 4.26, 177, 57.74,
33,"= ""603216""", 梦天家居, 19.31, 5.00, 1708, 19.31, 5.39,12.2,12.4,5,  装修装饰,6.74,36.47,52.53, 59.19, 2.29亿, 18.88,121.95, 44, 1.31, 2.227亿, 43.00亿, 2.227亿, 43.00亿,81.14, 18.41,16.4,25.94,2025-10-02,19.31,0,2025-10-02,18.39, 6.47, 1021, 19.10,
34,"= ""002249""", 大洋电机, 11.52, -4.32, 2.58万, 11.52, 12.76,1.5,11.41,-4.32,  电机,-1.45,44.54,74.55, 46.42, 27.19亿, 11.83,149.35, 5484, 0.72, 24.42亿, 281.4亿, 18.30亿, 210.8亿,100.7, 11.50,47.08,102.09,2025-10-02,11.52,0,2025-10-02,12.04, 3.16, 3.19万, 11.64,
35,"= ""688388""", 嘉元科技, 37.52, 3.39, 3490, 37.52, 6.86,8.6,8.75,3.39,  电池,12.81,20.53,76.15, 47.64, 10.94亿, 36.64,347.73, 29, 1.06, 4.262亿, 159.9亿, 4.262亿, 159.9亿,154.72, 36.34,19.15,39.15,2025-10-02,37.52,0,2025-10-02,36.29, 5.95, 1111, 37.41,
36,"= ""688257""", 新锐股份, 19.85, -1.64, 840, 19.84, 1.41,-4.38,-1.19,-1.64,  有色金属,-1.24,11.27,38.52, -8.04, 7117万, 20.21,110.95, 504, 0.65, 2.524亿, 50.10亿, 2.524亿, 50.10亿,54.6, 19.85,4.49,12.31,2025-10-02,19.85,0,2025-10-02,20.18, 2.82, -163, 20.04,
37,"= ""688200""", 华峰测控, 208.30, -0.35, 155, 208.30, 2.02,-0.55,17.81,-0.35,  半导体,0.29,12.1,48.14, -59.57, 5.76亿, 209.35,176.26, 2, 0.63, 1.355亿, 282.3亿, 1.355亿, 282.3亿,100.77, 207.33,6.23,18.07,2025-10-02,208.3,0,2025-10-02,209.03, 4.10, -36, 210.94,
38,"= ""300715""", 凯伦股份, 12.52, 0.00, 887, 12.52, 1.29,-2.57,8.68,0,  装修建材,6.83,20.15,26.34, 45.79, 5402万, 12.59,111.49, 13, 0.43, 3.781亿, 47.33亿, 3.342亿, 41.84亿,68.73, 12.46,5.89,16.26,2025-10-02,12.52,0,2025-10-02,12.52, 1.76, 348, 12.57,
39,"= ""002295""", 精艺股份, 14.75, 9.99, 167, 14.75, 25.07,9.26,36.2,9.99,  有色金属,32.29,44.04,47.5, 100.00, 9.00亿, 13.20,199.19, 0, 2.50, 2.506亿, 36.97亿, 2.503亿, 36.92亿,130.83, 13.16,60.74,75.3,2025-10-02,14.75,0,2025-10-02,13.41, 11.86, 1.74万, 14.34,
40,"= ""603090""", 宏盛股份, 53.03, -5.69, 1625, 53.03, 13.91,-2.68,15.18,-5.69,  通用设备,12.23,33.41,118.41, 80.51, 7.63亿, 54.44,301.13, 1, 0.79, 1.000亿, 53.03亿, 1.000亿, 53.03亿,208.13, 52.52,58.04,102.02,2025-10-02,53.03,0,2025-10-02,56.23, 11.51, 347, 54.86,
41,"= ""300850""", 新强联, 43.48, 2.55, 1722, 43.48, 10.43,8.02,22.72,2.55,  风电设备,12.88,22.65,16.01, 82.24, 13.41亿, 42.40,213.03, 91, 1.05, 4.083亿, 177.5亿, 2.950亿, 128.3亿,128.6, 42.28,36.28,60.28,2025-10-02,43.48,0,2025-10-02,42.4, 5.14, 1357, 43.60,
42,"= ""301093""", 华兰股份, 42.52, 0.00, 154, 42.52, 2.09,-5.07,14.67,0,  医疗器械,4.73,19.17,67.34, 16.37, 1.39亿, 42.40,186.33, 22, 0.39, 1.642亿, 69.82亿, 1.569亿, 66.73亿,134.27, 41.59,11.01,28.64,2025-10-02,42.52,0,2025-10-02,42.52, 4.73, 62, 42.54,
43,"= ""603486""", 科沃斯, 107.50, 2.32, 1354, 107.49, 0.90,1.42,9.57,2.32,  家电行业,1.82,11.64,91.55, -84.86, 5.44亿, 104.28,164.39, 250, 1.00, 5.764亿, 619.6亿, 5.692亿, 611.9亿,130.93, 103.00,2.76,5.45,2025-10-02,107.5,0,2025-10-02,105.06, 4.31, -325, 105.60,
44,"= ""603006""", XD联明股, 14.12, -1.12, 600, 14.12, 1.52,-0.7,-5.04,-1.12,  汽车零部件,-4.47,6.33,19.56, 2.99, 5479万, 14.34,71.78, 102, 0.59, 2.543亿, 35.90亿, 2.543亿, 35.90亿,46.02, 14.02,5.3,14.49,2025-10-02,14.12,0,2025-10-02,14.28, 2.24, 45, 14.19,
45,"= ""002010""", 传化智联, 6.30, 0.80, 5051, 6.30, 1.44,0.32,-1.56,0.8,  物流行业,-1.41,4.48,12.1, -20.06, 2.51亿, 6.24,80.52, 6193, 0.97, 27.88亿, 175.6亿, 27.81亿, 175.2亿,42.21, 6.21,4.15,8.84,2025-10-02,6.3,0,2025-10-02,6.25, 2.40, -5153, 6.27,
46,"= ""002080""", 中材科技, 34.02, -0.73, 2070, 34.02, 1.45,-3.21,-6.36,-0.73,  玻璃玻纤,-5.84,3.91,39.37, 38.28, 8.36亿, 34.27,266.59, 149, 0.83, 16.78亿, 570.9亿, 16.78亿, 570.9亿,164.75, 33.93,4.47,10.18,2025-10-02,34.02,0,2025-10-02,34.27, 2.80, 806, 34.29,
47,"= ""688506""", 百利天恒, 375.30, 3.43, 156, 374.73, 1.01,-0.85,5,3.43,  生物制品,2.68,3.79,28.44, -17.75, 3.88亿, 362.85,137.55, 4, 0.82, 4.129亿, 1550亿, 1.029亿, 386.2亿,95.74, 362.85,3.35,7.15,2025-10-02,375.3,0,2025-10-02,362.85, 4.70, -8, 373.22,
48,"= ""300200""", 高盟新材, 10.41, 0.97, 1257, 10.41, 2.57,-0.38,2.46,0.97,  化学制品,1.56,2.06,4.31, -8.96, 1.13亿, 10.31,55.14, 305, 0.66, 4.310亿, 44.86亿, 4.233亿, 44.06亿,27.89, 10.28,7.67,22.02,2025-10-02,10.41,0,2025-10-02,10.31, 2.04, -505, 10.41,
49,"= ""002686""", 亿利达, 6.56, 1.08, 2793, 6.55, 4.03,1.55,-3.1,1.08,  通用设备,0.92,-3.1,-1.65, -10.49, 1.39亿, 6.50,38.11, 994, 2.78, 5.662亿, 37.15亿, 5.227亿, 34.29亿,22.62, 6.43,6.86,11.27,2025-10-02,6.56,0,2025-10-02,6.49, 7.09, -486, 6.60,
50,"= ""000426""", 兴业银锡, 32.89, 5.21, 1.12万, 32.89, 4.95,21.19,25.53,5.21,  有色金属,21.68,42.01,94.96, -21.30, 29.10亿, 33.00,216.86, 421, 1.64, 17.76亿, 584.0亿, 17.75亿, 583.9亿,197.65, 32.62,12.11,20.03,2025-10-02,32.89,0,2025-10-02,31.26, 3.93, -315, 33.12,
51,"= ""688273""", 麦澜德, 40.61, 3.31, 252, 40.58, 4.79,4.13,-2.07,3.31,  医疗器械,5.81,1.07,34.96, 3.65, 7137万, 39.60,109.87, 2, 1.56, 1.000亿, 40.61亿, 3683万, 14.96亿,76.72, 39.15,9.88,20.12,2025-10-02,40.61,0,2025-10-02,39.31, 4.71, 3, 40.46,
52,"= ""002420""", 毅昌科技, 8.66, 1.88, 4545, 8.66, 8.54,5.87,15.93,1.88,  家电行业,15.01,29.06,34.47, -25.44, 2.92亿, 8.47,82.32, 1546, 0.95, 4.113亿, 35.62亿, 3.996亿, 34.60亿,64.02, 8.35,27.9,53.58,2025-10-02,8.66,0,2025-10-02,8.5, 5.06, -2377, 8.56,
53,"= ""605588""", 冠石科技, 62.15, 4.24, 2288, 62.11, 11.01,10.04,14.2,4.24,  半导体,10.96,10.74,33.48, -95.72, 4.79亿, 59.99,78.69, 671, 2.01, 7347万, 45.66亿, 7310万, 45.43亿,52.48, 57.91,20.76,38.39,2025-10-02,62.15,0,2025-10-02,59.62, 8.64, -671, 59.49,
54,"= ""600671""", 天目药业, 18.26, 0.00, 167, 18.24, 2.57,-1.4,-1.14,0,  中药,-1.83,-4.05,31.94, -15.15, 5699万, 18.28,182.66, 40, 0.79, 1.218亿, 22.24亿, 1.217亿, 22.23亿,107.97, 18.09,7.55,18.84,2025-10-02,18.26,0,2025-10-02,18.26, 2.03, -95, 18.23,
55,"= ""688550""", 瑞联新材, 50.45, 0.50, 378, 50.44, 1.82,-3.17,10.49,0.5,  电子化学品,-1.46,12.16,25.5, -90.27, 1.59亿, 50.20,182, 666, 0.48, 1.736亿, 87.57亿, 1.736亿, 87.57亿,64.33, 50.05,7.62,20.93,2025-10-02,50.45,0,2025-10-02,50.2, 1.61, -794, 50.38,
56,"= ""688625""", 呈和科技, 37.96, 4.89, 798, 37.95, 2.45,12.31,19.15,4.89,  化学制品,17.41,16.41,24.26, -28.86, 1.74亿, 36.19,81.11, 66, 1.48, 1.883亿, 71.49亿, 1.883亿, 71.49亿,41.69, 36.18,6.89,10.74,2025-10-02,37.96,0,2025-10-02,36.19, 5.78, -414, 37.66,
57,"= ""600961""", 株冶集团, 16.23, 4.37, 3274, 16.23, 6.15,8.56,6.36,4.37,  有色金属,5.53,6.99,41.87, -27.62, 7.48亿, 15.68,130.87, 193, 1.10, 10.73亿, 174.1亿, 7.518亿, 122.0亿,106.23, 15.57,15.99,34.13,2025-10-02,16.23,0,2025-10-02,15.55, 6.17, -1289, 16.20,
58,"= ""600711""", 盛屯矿业, 10.32, 10.02, 3854, 10.32, 14.42,20,17.81,10.02,  能源金属,25.85,14.41,41.18, 100.00, 45.35亿, 9.56,196.55, 0, 2.76, 30.91亿, 319.0亿, 30.91亿, 319.0亿,114.11, 9.56,30.21,40.55,2025-10-02,10.32,0,2025-10-02,9.38, 8.10, 6.75万, 10.18,
59,"= ""300199""", 翰宇药业, 21.33, 1.52, 4024, 21.33, 4.35,-7.74,-11.82,1.52,  化学制药,-8.02,-20.11,15.67, -9.45, 6.89亿, 21.01,134.4, 628, 0.59, 8.832亿, 188.4亿, 7.457亿, 159.1亿,65.48, 20.94,22.78,41.3,2025-10-02,21.33,0,2025-10-02,21.01, 2.19, -600, 21.28,
60,"= ""301606""", 绿联科技, 63.98, -1.66, 184, 63.98, 0.73,-5.21,-4.62,-1.66,  消费电子,-3.03,-1.89,35.35, -57.54, 1.02亿, 65.08,155.72, 4, 0.65, 4.149亿, 265.5亿, 2.190亿, 140.1亿,71.99, 63.17,3.42,6.34,2025-10-02,63.98,0,2025-10-02,65.06, 4.12, -103, 64.19,
61,"= ""688510""", 航亚科技, 26.15, -0.57, 518, 26.13, 2.40,5.87,7.39,-0.57,  航天航空,3.69,10.43,11.8, -22.81, 1.62亿, 26.58,102.09, 118, 1.11, 2.584亿, 67.57亿, 2.584亿, 67.57亿,51.86, 25.80,8.32,13.22,2025-10-02,26.15,0,2025-10-02,26.3, 2.97, -66, 26.14,
62,"= ""688536""", 思瑞浦, 173.34, 3.75, 398, 173.32, 3.37,4.52,9.88,3.75,  半导体,8.75,13.1,29.76, -48.92, 7.68亿, 168.00,146.22, 8, 0.87, 1.356亿, 235.1亿, 1.326亿, 229.9亿,87.39, 167.29,10.64,22.79,2025-10-02,173.34,0,2025-10-02,167.08, 4.14, -133, 171.85,
63,"= ""688375""", 国博电子, 76.70, 3.79, 298, 76.69, 0.47,2.91,3.06,3.79,  电子元件,6.53,14.85,27.73, 9.65, 2.16亿, 73.90,132.35, 109, 1.11, 5.960亿, 457.1亿, 5.960亿, 457.1亿,56.66, 73.77,1.27,2.6,2025-10-02,76.7,0,2025-10-02,73.9, 6.12, 33, 76.30,
64,"= ""301137""", 哈焊华通, 38.42, 4.72, 3296, 38.42, 13.22,5.81,19.21,4.72,  通用设备,27.09,24.26,-0.39, -15.27, 9.08亿, 36.88,145.5, 482, 1.59, 1.818亿, 69.85亿, 1.801亿, 69.21亿,121.06, 36.13,40.12,54.91,2025-10-02,38.42,0,2025-10-02,36.69, 10.55, -240, 38.11,
65,"= ""301077""", 星华新材, 27.95, -0.36, 332, 27.95, 5.49,-2.41,0.18,-0.36,  化学制品,0.04,27.05,40.03, -33.37, 1.47亿, 28.10,186.08, 1, 0.80, 1.701亿, 47.54亿, 9540万, 26.67亿,60.08, 27.41,16.75,39.92,2025-10-02,27.95,0,2025-10-02,28.05, 3.89, -81, 28.00,
66,"= ""300836""", 佰奥智能, 56.70, 6.62, 983, 56.70, 10.94,-1.39,20.64,6.62,  专用设备,-0.32,28.22,31.1, 44.40, 3.85亿, 53.39,152.67, 1, 0.79, 9269万, 52.55亿, 6321万, 35.84亿,96.26, 53.18,37.72,80.33,2025-10-02,56.7,0,2025-10-02,53.18, 9.06, 58, 55.68,
67,"= ""300433""", 蓝思科技, 33.48, 2.70, 1.64万, 33.48, 1.89,-0.42,10.5,2.7,  消费电子,4.33,11.49,43.51, 38.96, 31.18亿, 32.63,123.95, 218, 0.79, 52.84亿, 1769亿, 49.67亿, 1663亿,55.72, 32.40,5.87,13.91,2025-10-02,33.48,0,2025-10-02,32.6, 4.29, 4651, 33.14,
68,"= ""300290""", 荣科科技, 28.21, 2.73, 3580, 28.20, 4.80,2.1,-11.43,2.73,  互联网服务,3.41,17.15,62.31, 11.83, 8.63亿, 27.60,197.26, 220, 1.05, 6.397亿, 180.5亿, 6.395亿, 180.4亿,38.62, 27.47,12.79,27.6,2025-10-02,28.21,0,2025-10-02,27.46, 4.77, 506, 28.10,
69,"= ""688691""", 灿芯股份, 101.88, 15.41, 1004, 101.84, 19.38,8.95,42.55,15.41,  半导体,24.85,33.25,75.2, -74.55, 13.13亿, 90.55,210.04, 7, 1.35, 1.200亿, 122.3亿, 7147万, 72.81亿,32.6, 87.60,41.98,91.31,2025-10-02,101.88,0,2025-10-02,88.28, 19.14, -117, 94.80,
70,"= ""688663""", 新风光, 40.20, -0.12, 263, 40.19, 1.77,0,4.42,-0.12,  电网设备,5.04,25.31,34, 70.56, 1.01亿, 40.22,154.75, 48, 0.53, 1.414亿, 56.84亿, 1.414亿, 56.84亿,90.34, 39.81,8.55,18.55,2025-10-02,40.2,0,2025-10-02,40.25, 2.96, 564, 40.47,
71,"= ""688617""", 惠泰医疗, 316.73, 1.05, 145, 316.73, 0.58,-1.52,6.29,1.05,  医疗器械,5.23,3.55,9.49, 63.12, 2.58亿, 313.87,37.65, 2, 0.69, 1.410亿, 446.6亿, 1.410亿, 446.6亿,23.93, 311.92,1.79,4.74,2025-10-02,316.73,0,2025-10-02,313.45, 2.19, 41, 316.32,
72,"= ""688596""", 正帆科技, 43.37, 1.98, 1605, 43.37, 5.85,6.98,22.2,1.98,  专用设备,13.3,23.21,21.96, -42.87, 7.46亿, 43.25,78.18, 2, 0.97, 2.929亿, 127.0亿, 2.929亿, 127.0亿,22.97, 42.00,17.18,35.92,2025-10-02,43.37,0,2025-10-02,42.53, 7.03, -188, 43.53,
73,"= ""688416""", 恒烁股份, 54.71, 11.88, 480, 54.71, 14.42,11.31,19.69,11.88,  半导体,14.19,26.06,44.01, 30.91, 5.03亿, 49.99,162.52, 3, 1.94, 8293万, 45.37亿, 6524万, 35.69亿,40.28, 49.39,27.29,51.51,2025-10-02,54.71,0,2025-10-02,48.9, 16.38, 124, 53.48,
74,"= ""688401""", 路维光电, 49.22, 1.74, 662, 49.22, 3.40,0.86,16.94,1.74,  半导体,2.54,17.25,45.19, 54.12, 3.24亿, 48.28,161.67, 28, 0.98, 1.933亿, 95.16亿, 1.933亿, 95.16亿,88.65, 47.50,8.64,20.73,2025-10-02,49.22,0,2025-10-02,48.38, 6.06, 212, 49.21,
75,"= ""688305""", 科德数控, 65.68, 2.27, 568, 65.68, 3.43,0.24,0.43,2.27,  通用设备,3.22,3.68,19.29, -8.94, 3.00亿, 65.00,48.36, 20, 1.69, 1.329亿, 87.29亿, 1.322亿, 86.84亿,25.7, 64.60,6.37,13.59,2025-10-02,65.68,0,2025-10-02,64.22, 4.72, -20, 66.12,
76,"= ""688300""", 联瑞新材, 62.10, 3.48, 311, 62.09, 3.22,2.21,14.58,3.48,  非金属材料,6.06,16.88,22.63, 88.14, 4.88亿, 60.77,113.26, 16, 1.02, 2.415亿, 150.0亿, 2.415亿, 150.0亿,26.35, 60.77,8.12,18.97,2025-10-02,62.1,0,2025-10-02,60.01, 5.47, 792, 62.62,
77,"= ""688191""", 智洋创新, 30.17, 1.55, 371, 30.15, 2.00,0.9,6.99,1.55,  电网设备,4.03,25.29,16.08, 0.88, 1.37亿, 29.30,223.37, 108, 1.01, 2.317亿, 69.89亿, 2.317亿, 69.89亿,172.05, 28.66,6.04,11.88,2025-10-02,30.17,0,2025-10-02,29.71, 5.08, 4, 29.53,
78,"= ""688173""", 希荻微, 16.79, 2.44, 1042, 16.79, 2.82,1.14,0.42,2.44,  半导体,4.42,5.8,24.93, 32.55, 1.94亿, 16.55,109.09, 30, 1.13, 4.108亿, 68.97亿, 4.071亿, 68.35亿,51.53, 16.47,6.87,15.32,2025-10-02,16.79,0,2025-10-02,16.39, 4.09, 602, 16.84,
79,"= ""688128""", 中国电研, 31.64, 2.86, 760, 31.64, 2.03,4.22,6.14,2.86,  专用设备,6.93,20.08,29.14, 27.38, 2.58亿, 30.72,108.98, 94, 1.41, 4.045亿, 128.0亿, 4.045亿, 128.0亿,54.27, 30.46,4.51,9.21,2025-10-02,31.64,0,2025-10-02,30.76, 5.17, 197, 31.51,
80,"= ""688017""", 绿的谐波, 180.78, 1.16, 826, 180.78, 3.15,1.84,0.22,1.16,  通用设备,6,13.21,52.18, -8.77, 10.41亿, 179.00,200.1, 2, 0.86, 1.833亿, 331.4亿, 1.833亿, 331.4亿,67.45, 178.07,9.35,21.61,2025-10-02,180.78,0,2025-10-02,178.7, 2.13, -22, 179.99,
81,"= ""300933""", 中辰股份, 9.66, 7.21, 4280, 9.65, 9.77,10.27,7.57,7.21,  电网设备,10.53,8.91,24.97, -50.09, 4.93亿, 9.07,75.96, 707, 2.24, 5.282亿, 51.03亿, 5.282亿, 51.03亿,15.97, 9.02,21.49,31.56,2025-10-02,9.66,0,2025-10-02,9.01, 9.77, -3380, 9.55,
82,"= ""300905""", 宝丽迪, 37.14, -0.24, 1449, 37.14, 6.62,-2.03,1.45,-0.24,  塑料制品,-3.83,17.42,21.06, 5.92, 3.45亿, 37.08,55.92, 312, 0.70, 1.788亿, 66.40亿, 1.390亿, 51.64亿,44.18, 36.92,19.81,53.76,2025-10-02,37.14,0,2025-10-02,37.23, 3.84, 73, 37.51,
83,"= ""300792""", 壹网壹创, 35.00, 1.92, 2474, 34.99, 10.83,1.6,6.38,1.92,  互联网服务,15.25,19.99,43.09, 71.78, 8.02亿, 34.52,126.98, 95, 0.93, 2.369亿, 82.93亿, 2.125亿, 74.39亿,46.44, 33.80,37.39,68.91,2025-10-02,35,0,2025-10-02,34.34, 5.07, 921, 34.87,
84,"= ""300321""", 同大股份, 41.11, 5.17, 432, 41.11, 3.82,4.39,4.61,5.17,  化学制品,1.46,9.71,36.9, 30.48, 1.38亿, 39.29,201.39, 13, 1.42, 8880万, 36.51亿, 8870万, 36.46亿,100.34, 39.10,8.75,17.27,2025-10-02,41.11,0,2025-10-02,39.09, 6.40, 164, 40.67,
85,"= ""300291""", 百纳千成, 6.64, -1.63, 3747, 6.63, 3.21,-3.49,-0.3,-1.63,  文化传媒,0.61,8.14,18.15, 54.85, 2.00亿, 6.75,66.42, 658, 0.67, 9.419亿, 62.54亿, 9.290亿, 61.68亿,32.01, 6.62,11.75,27.33,2025-10-02,6.64,0,2025-10-02,6.75, 2.96, 8121, 6.70,
86,"= ""300223""", 北京君正, 89.01, 7.24, 6914, 89.00, 14.45,4.61,7.44,7.24,  半导体,5.84,14.99,32.24, 46.32, 53.83亿, 84.39,103.82, 70, 1.88, 4.825亿, 429.5亿, 4.206亿, 374.3亿,30.7, 84.39,25.12,52.89,2025-10-02,89.01,0,2025-10-02,83, 10.37, 1180, 88.55,
87,"= ""300054""", 鼎龙股份, 36.29, 1.06, 2604, 36.28, 3.27,-1.44,18.4,1.06,  电子化学品,4.73,19.06,25.14, -6.29, 8.77亿, 36.38,97.23, 44, 0.63, 9.465亿, 343.5亿, 7.361亿, 267.1亿,40.01, 35.89,10.37,29.17,2025-10-02,36.29,0,2025-10-02,35.91, 2.84, -77, 36.40,
88,"= ""300692""", 中环环保, —, —, —, —, —,11.31,9.79,0,  环保行业,12.29,26.03,39.31, —, —, —,110.45, —, —, 4.245亿, 37.61亿, 3.753亿, 33.25亿,57.37, —,12.55,21.51,2025-10-02,8.86,0,2025-10-02,8.86, —, —, —,
